"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14756764935;2015-11-19 14:31:56;36;51250;"HEAVY";86;-36.812655;174.752996
14737605958;2015-11-18 21:55:41;160;51250;"HEAVY";89;-36.737025;174.718689
14769696031;2015-11-19 22:51:46;154;51250;"HEAVY";87;-36.774394;174.744249
14639714380;2015-11-15 14:46:35;349;51250;"HEAVY";81;-36.739982;174.719548
14649874866;2015-11-15 22:06:26;175;51250;"HEAVY";82;-36.728287;174.715101
14696514937;2015-11-17 14:38:45;6;51250;"HEAVY";86;-36.801082;174.761335
14756774100;2015-11-19 14:33:21;322;51250;"HEAVY";86;-36.796708;174.75945
14649994191;2015-11-15 22:10:14;148;51250;"HEAVY";7;-36.75314;174.728457
14756787201;2015-11-19 14:34:49;333;51250;"HEAVY";86;-36.780426;174.747864
14649935531;2015-11-15 22:08:17;157;51250;"HEAVY";47;-36.743611;174.720918
14756792224;2015-11-19 14:35:11;333;51250;"HEAVY";87;-36.776167;174.745199
14769582409;2015-11-19 22:48:20;163;51250;"HEAVY";86;-36.737986;174.719079
14769715302;2015-11-19 22:52:41;153;51250;"HEAVY";86;-36.785031;174.75092
14756792227;2015-11-19 14:35:22;334;51250;"HEAVY";85;-36.774046;174.743879
14769767659;2015-11-19 22:54:17;198;51250;"HEAVY";86;-36.803421;174.760729
14696560788;2015-11-17 14:44:10;338;51250;"HEAVY";85;-36.743312;174.720631
14666990684;2015-11-16 14:42:07;330;51250;"HEAVY";83;-36.747052;174.722965
14719445389;2015-11-18 03:48:20;0;51250;"HEAVY";0;-36.754889;174.730504
14726440435;2015-11-18 14:37:03;343;51250;"HEAVY";87;-36.766158;174.739902
14769820757;2015-11-19 22:55:46;184;51250;"HEAVY";82;-36.819915;174.750019
14696565653;2015-11-17 14:44:32;345;51250;"HEAVY";87;-36.738769;174.7192
14737565832;2015-11-18 21:54:33;170;51250;"HEAVY";81;-36.723455;174.714503
14720247992;2015-11-18 04:19:30;157;51250;"HEAVY";79;-36.768581;174.741175
14696556309;2015-11-17 14:43:25;323;51250;"HEAVY";79;-36.75137;174.726427
14726454946;2015-11-18 14:38:58;330;51250;"HEAVY";85;-36.747313;174.723146
14650177157;2015-11-15 22:16:03;151;51250;"HEAVY";86;-36.791192;174.75483
14769715299;2015-11-19 22:52:30;153;51250;"HEAVY";85;-36.782919;174.7496
