"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14766529147;2015-11-19 21:15:52;171;49287;"HEAVY";70;-36.724082;174.714638
14766672703;2015-11-19 21:20:07;161;49287;"HEAVY";88;-36.765115;174.739739
14766712340;2015-11-19 21:21:21;152;49287;"HEAVY";83;-36.778025;174.74654
14766834581;2015-11-19 21:25:29;190;49287;"HEAVY";82;-36.817837;174.750545
14766729731;2015-11-19 21:22:03;153;49287;"HEAVY";92;-36.786407;174.751762
14766590410;2015-11-19 21:17:37;163;49287;"HEAVY";63;-36.742225;174.720352
14766634397;2015-11-19 21:19:24;136;49287;"HEAVY";80;-36.757345;174.733342
14766777339;2015-11-19 21:23:04;154;49287;"HEAVY";93;-36.798228;174.760931
14766853131;2015-11-19 21:25:40;181;49287;"HEAVY";85;-36.820094;174.750072
14766970468;2015-11-19 21:29:34;-1;49287;"HEAVY";255;-36.806146;174.759231
14766729727;2015-11-19 21:21:53;153;49287;"HEAVY";92;-36.784349;174.75047
14766551088;2015-11-19 21:16:22;174;49287;"HEAVY";70;-36.728842;174.715177
14766654978;2015-11-19 21:19:45;145;49287;"HEAVY";90;-36.760794;174.737092
14766834573;2015-11-19 21:25:06;213;49287;"HEAVY";76;-36.813606;174.752358
14766813368;2015-11-19 21:24:54;217;49287;"HEAVY";77;-36.811764;174.754036
14766813366;2015-11-19 21:24:42;217;49287;"HEAVY";73;-36.809962;174.755732
14766551093;2015-11-19 21:16:35;164;49287;"HEAVY";79;-36.731196;174.715707
14766569715;2015-11-19 21:17:08;162;49287;"HEAVY";71;-36.737734;174.71902
14766693209;2015-11-19 21:21:10;153;49287;"HEAVY";83;-36.775994;174.745263
14766551097;2015-11-19 21:16:46;155;49287;"HEAVY";89;-36.733398;174.716699
14766672707;2015-11-19 21:20:18;161;49287;"HEAVY";84;-36.767389;174.740606
14766712341;2015-11-19 21:21:32;153;49287;"HEAVY";87;-36.780118;174.747838
14766611267;2015-11-19 21:18:28;145;49287;"HEAVY";66;-36.750346;174.725711
14766834578;2015-11-19 21:25:17;196;49287;"HEAVY";77;-36.815478;174.751154
14766693199;2015-11-19 21:20:46;157;49287;"HEAVY";63;-36.771805;174.742869
14766813362;2015-11-19 21:24:28;217;49287;"HEAVY";63;-36.808049;174.75754
14766853139;2015-11-19 21:26:10;208;49287;"HEAVY";65;-36.825553;174.749079
14766777341;2015-11-19 21:23:13;173;49287;"HEAVY";65;-36.80001;174.76155
14766590412;2015-11-19 21:17:51;154;49287;"HEAVY";71;-36.744356;174.721364
14766634394;2015-11-19 21:18:59;134;49287;"HEAVY";65;-36.753933;174.72933
14766654980;2015-11-19 21:19:56;153;49287;"HEAVY";88;-36.762877;174.738602
14766729736;2015-11-19 21:22:13;153;49287;"HEAVY";90;-36.788423;174.753025
14766746491;2015-11-19 21:22:54;141;49287;"HEAVY";92;-36.796314;174.75932
14766512020;2015-11-19 21:15:29;159;49287;"HEAVY";90;-36.719542;174.713218
14766654974;2015-11-19 21:19:35;137;49287;"HEAVY";88;-36.759037;174.735352
14766793847;2015-11-19 21:23:52;200;49287;"HEAVY";41;-36.804119;174.760484
14766693206;2015-11-19 21:20:59;155;49287;"HEAVY";79;-36.773942;174.744016
14766777343;2015-11-19 21:23:30;194;49287;"HEAVY";34;-36.801968;174.761343
14766746488;2015-11-19 21:22:44;141;49287;"HEAVY";93;-36.794499;174.757501
14766853134;2015-11-19 21:25:51;173;49287;"HEAVY";81;-36.822353;174.750364
14766569716;2015-11-19 21:17:22;168;49287;"HEAVY";64;-36.739978;174.719731
14766611261;2015-11-19 21:18:15;148;49287;"HEAVY";74;-36.748424;174.724149
14766672708;2015-11-19 21:20:30;156;49287;"HEAVY";72;-36.769632;174.741716
14766853136;2015-11-19 21:25:57;193;49287;"HEAVY";75;-36.823518;174.750291
14766712345;2015-11-19 21:21:43;153;49287;"HEAVY";90;-36.782313;174.749204
14766529153;2015-11-19 21:16:07;175;49287;"HEAVY";61;-36.726453;174.714931
14766634396;2015-11-19 21:19:12;135;49287;"HEAVY";77;-36.755631;174.731273
14766529142;2015-11-19 21:15:40;166;49287;"HEAVY";82;-36.721857;174.714097
14766877822;2015-11-19 21:26:26;207;49287;"HEAVY";52;-36.827578;174.747734
14766569714;2015-11-19 21:16:57;156;49287;"HEAVY";88;-36.735555;174.718007
14766611275;2015-11-19 21:18:43;142;49287;"HEAVY";57;-36.752148;174.727388
14766590415;2015-11-19 21:18:03;150;49287;"HEAVY";80;-36.746398;174.7227
14766793854;2015-11-19 21:24:12;210;49287;"HEAVY";53;-36.806146;174.759231
14766746485;2015-11-19 21:22:34;147;49287;"HEAVY";92;-36.792609;174.75582
14766746481;2015-11-19 21:22:24;152;49287;"HEAVY";89;-36.790621;174.754405
