"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14671610967;2015-11-16 18:48:17;344;47589;"HEAVY";95;-36.738344;174.719018
14671496470;2015-11-16 18:44:48;333;47589;"HEAVY";84;-36.776882;174.74564
14671629321;2015-11-16 18:48:38;332;47589;"HEAVY";85;-36.733928;174.716839
14674850613;2015-11-16 20:21:12;174;47589;"HEAVY";76;-36.820615;174.750046
14674451091;2015-11-16 20:09:47;227;47589;"HEAVY";0;-36.771847;174.743474
14671396537;2015-11-16 18:42:20;27;47589;"HEAVY";87;-36.805305;174.759498
14671496483;2015-11-16 18:45:10;335;47589;"HEAVY";84;-36.772761;174.743122
14674418929;2015-11-16 20:08:37;249;47589;"HEAVY";0;-36.771688;174.743734
14671574056;2015-11-16 18:47:13;323;47589;"HEAVY";81;-36.751132;174.726188
14674750857;2015-11-16 20:18:29;189;47589;"HEAVY";24;-36.800847;174.761588
14671629324;2015-11-16 18:48:49;341;47589;"HEAVY";79;-36.731832;174.715729
14671689481;2015-11-16 18:50:30;339;47589;"HEAVY";8;-36.719062;174.71241
14671592789;2015-11-16 18:47:56;339;47589;"HEAVY";89;-36.743024;174.720465
14674364630;2015-11-16 20:07:19;252;47589;"HEAVY";0;-36.771605;174.743956
14671477350;2015-11-16 18:44:37;333;47589;"HEAVY";82;-36.778895;174.746886
14674726228;2015-11-16 20:17:20;141;47589;"HEAVY";53;-36.796063;174.759151
14671459090;2015-11-16 18:43:53;333;47589;"HEAVY";87;-36.787417;174.752199
14674871174;2015-11-16 20:21:25;182;47589;"HEAVY";73;-36.823005;174.750339
14671592779;2015-11-16 18:47:35;330;47589;"HEAVY";87;-36.747231;174.723058
14674786031;2015-11-16 20:19:19;206;47589;"HEAVY";56;-36.805191;174.759874
14671514498;2015-11-16 18:45:43;343;47589;"HEAVY";89;-36.766208;174.739908
14671558945;2015-11-16 18:46:50;316;47589;"HEAVY";77;-36.754674;174.729889
14674496803;2015-11-16 20:10:35;229;47589;"HEAVY";5;-36.771858;174.743471
14674699013;2015-11-16 20:17:02;142;47589;"HEAVY";38;-36.794276;174.75737
14674750854;2015-11-16 20:18:00;171;47589;"HEAVY";30;-36.799212;174.761404
14671574058;2015-11-16 18:47:24;327;47589;"HEAVY";84;-36.749253;174.724578
14671459091;2015-11-16 18:44:04;334;47589;"HEAVY";86;-36.785245;174.750835
14674578791;2015-11-16 20:13:26;153;47589;"HEAVY";27;-36.782295;174.749281
14674451088;2015-11-16 20:09:20;249;47589;"HEAVY";5;-36.771689;174.743735
14674726247;2015-11-16 20:17:40;150;47589;"HEAVY";34;-36.79789;174.760785
14674825947;2015-11-16 20:20:08;216;47589;"HEAVY";63;-36.810832;174.7549
14671361327;2015-11-16 18:40:55;348;47589;"HEAVY";70;-36.821614;174.750019
14671477343;2015-11-16 18:44:15;333;47589;"HEAVY";89;-36.783058;174.749482
14671440681;2015-11-16 18:43:09;320;47589;"HEAVY";86;-36.795366;174.758142
14671558939;2015-11-16 18:46:26;316;47589;"HEAVY";83;-36.7581;174.733941
14671514495;2015-11-16 18:45:32;337;47589;"HEAVY";85;-36.768465;174.74087
14674668072;2015-11-16 20:15:37;153;47589;"HEAVY";13;-36.790458;174.754412
14674850606;2015-11-16 20:21:04;191;47589;"HEAVY";76;-36.819075;174.750189
14674552702;2015-11-16 20:12:14;158;47589;"HEAVY";57;-36.77405;174.744198
14671418857;2015-11-16 18:42:59;324;47589;"HEAVY";92;-36.797148;174.759905
14674699009;2015-11-16 20:16:32;147;47589;"HEAVY";25;-36.792432;174.755774
14674825950;2015-11-16 20:20:23;216;47589;"HEAVY";64;-36.812676;174.753178
14671440685;2015-11-16 18:43:20;324;47589;"HEAVY";84;-36.793551;174.75639
14674807518;2015-11-16 20:19:35;216;47589;"HEAVY";50;-36.807166;174.758352
14674807520;2015-11-16 20:19:53;217;47589;"HEAVY";54;-36.809021;174.756607
14671459086;2015-11-16 18:43:42;333;47589;"HEAVY";86;-36.789578;174.75353
14674552715;2015-11-16 20:12:43;153;47589;"HEAVY";63;-36.77827;174.746754
14674871177;2015-11-16 20:21:34;207;47589;"HEAVY";65;-36.824468;174.749739
14671496477;2015-11-16 18:44:59;332;47589;"HEAVY";82;-36.774805;174.744338
14671396473;2015-11-16 18:41:50;37;47589;"HEAVY";92;-36.811037;174.754429
14671514490;2015-11-16 18:45:21;336;47589;"HEAVY";86;-36.770628;174.741996
14671610896;2015-11-16 18:48:07;349;47589;"HEAVY";92;-36.740643;174.719678
14671629328;2015-11-16 18:49:01;351;47589;"HEAVY";77;-36.729589;174.715059
14674552710;2015-11-16 20:12:29;154;47589;"HEAVY";71;-36.776124;174.745429
14671378548;2015-11-16 18:41:40;35;47589;"HEAVY";91;-36.812873;174.752731
14671648898;2015-11-16 18:49:13;356;47589;"HEAVY";80;-36.727213;174.714784
14671418848;2015-11-16 18:42:31;17;47589;"HEAVY";87;-36.803105;174.760648
14671361325;2015-11-16 18:40:46;12;47589;"HEAVY";73;-36.823232;174.750128
14671396531;2015-11-16 18:42:10;36;47589;"HEAVY";95;-36.807302;174.757912
14674786028;2015-11-16 20:18:59;196;47589;"HEAVY";42;-36.803005;174.760927
14671396480;2015-11-16 18:42:00;37;47589;"HEAVY";93;-36.809197;174.756153
14671440688;2015-11-16 18:43:31;330;47589;"HEAVY";83;-36.791632;174.754864
14674871180;2015-11-16 20:21:48;207;47589;"HEAVY";65;-36.826495;174.748397
14671361332;2015-11-16 18:41:07;3;47589;"HEAVY";83;-36.819398;174.749592
14671533455;2015-11-16 18:46:15;321;47589;"HEAVY";87;-36.759836;174.735916
14671689476;2015-11-16 18:50:24;339;47589;"HEAVY";0;-36.719062;174.712407
14674496805;2015-11-16 20:10:55;181;47589;"HEAVY";5;-36.772051;174.743332
14674578786;2015-11-16 20:13:00;153;47589;"HEAVY";43;-36.780274;174.748015
14671669561;2015-11-16 18:49:49;338;47589;"HEAVY";47;-36.720449;174.713096
