"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14772352961;2015-11-20 00:13:05;153;57494;"HEAVY";92;-36.786424;174.751758
14684787226;2015-11-17 01:16:19;333;57494;"HEAVY";78;-36.787473;174.752199
14686901806;2015-11-17 02:19:12;217;57494;"HEAVY";85;-36.810397;174.755256
14772295796;2015-11-20 00:11:26;66;57494;"HEAVY";0;-36.771819;174.742618
14656372757;2015-11-16 01:29:36;154;57494;"HEAVY";82;-36.788255;174.752945
14743827608;2015-11-19 00:55:03;62;57494;"HEAVY";13;-36.772109;174.741939
14656426684;2015-11-16 01:31:35;217;57494;"HEAVY";85;-36.809761;174.755892
14654743607;2015-11-16 00:38:52;303;57494;"HEAVY";22;-36.77221;174.742269
14743914099;2015-11-19 00:57:47;141;57494;"HEAVY";92;-36.796082;174.759044
14686762909;2015-11-17 02:15:07;63;57494;"HEAVY";7;-36.772263;174.741548
14716059934;2015-11-18 02:03:27;61;57494;"HEAVY";0;-36.77226;174.741515
14716174405;2015-11-18 02:06:50;171;57494;"HEAVY";93;-36.799557;174.761439
14742710377;2015-11-19 00:23:39;321;57494;"HEAVY";99;-36.79673;174.759481
14684728234;2015-11-17 01:14:44;27;57494;"HEAVY";88;-36.80538;174.759566
14686961357;2015-11-17 02:20:50;207;57494;"HEAVY";67;-36.827611;174.747786
14716132329;2015-11-18 02:05:26;153;57494;"HEAVY";95;-36.78197;174.749012
14772398142;2015-11-20 00:14:21;197;57494;"HEAVY";96;-36.802403;174.761095
14714842988;2015-11-18 01:27:49;1;57494;"HEAVY";74;-36.822875;174.750263
14656385984;2015-11-16 01:30:20;141;57494;"HEAVY";83;-36.796246;174.759271
14772295791;2015-11-20 00:11:05;62;57494;"HEAVY";7;-36.772118;174.741873
14656302261;2015-11-16 01:27:21;65;57494;"HEAVY";18;-36.772107;174.741944
14654540159;2015-11-16 00:33:06;27;57494;"HEAVY";63;-36.829182;174.74653
14684807699;2015-11-17 01:16:43;333;57494;"HEAVY";90;-36.78324;174.749543
14656426675;2015-11-16 01:31:24;217;57494;"HEAVY";80;-36.807958;174.757591
14742752750;2015-11-19 00:24:41;331;57494;"HEAVY";82;-36.784601;174.750374
14743827611;2015-11-19 00:55:22;67;57494;"HEAVY";0;-36.771841;174.742681
14742629286;2015-11-19 00:21:07;27;57494;"HEAVY";72;-36.826642;174.748182
14716112797;2015-11-18 02:04:55;158;57494;"HEAVY";74;-36.77595;174.745277
14743957104;2015-11-19 00:59:14;213;57494;"HEAVY";93;-36.813497;174.752436
14772273874;2015-11-20 00:10:45;64;57494;"HEAVY";0;-36.772124;174.741866
14686864937;2015-11-17 02:18:19;177;57494;"HEAVY";90;-36.800329;174.761514
14742734133;2015-11-19 00:24:09;332;57494;"HEAVY";91;-36.790844;174.754351
14686864936;2015-11-17 02:18:11;158;57494;"HEAVY";90;-36.798565;174.761064
14772352967;2015-11-20 00:13:15;153;57494;"HEAVY";90;-36.788427;174.75302
14656282348;2015-11-16 01:26:42;63;57494;"HEAVY";1;-36.772123;174.741902
14771062190;2015-11-19 23:33:47;329;57494;"HEAVY";75;-36.774288;174.743805
14686864934;2015-11-17 02:18:01;142;57494;"HEAVY";90;-36.796638;174.759599
14742800290;2015-11-19 00:26:01;329;57494;"HEAVY";0;-36.772465;174.742522
14654721721;2015-11-16 00:38:24;332;57494;"HEAVY";74;-36.775503;174.744673
14772462740;2015-11-20 00:16:14;207;57494;"HEAVY";83;-36.824513;174.7497
14716213140;2015-11-18 02:07:41;217;57494;"HEAVY";92;-36.809774;174.755823
14656486212;2015-11-16 01:33:00;190;57494;"HEAVY";77;-36.823348;174.750327
14770981914;2015-11-19 23:31:15;16;57494;"HEAVY";89;-36.802663;174.760828
14743957100;2015-11-19 00:58:54;217;57494;"HEAVY";93;-36.809749;174.755894
14744000504;2015-11-19 00:59:58;174;57494;"HEAVY";87;-36.822411;174.750336
14684699470;2015-11-17 01:13:21;347;57494;"HEAVY";77;-36.821307;174.750061
14656349709;2015-11-16 01:28:49;153;57494;"HEAVY";75;-36.779867;174.747693
14684711217;2015-11-17 01:14:03;35;57494;"HEAVY";90;-36.813034;174.752655
14743827614;2015-11-19 00:55:30;67;57494;"HEAVY";7;-36.771841;174.742681
14654623097;2015-11-16 00:35:32;28;57494;"HEAVY";77;-36.805453;174.759473
14742822915;2015-11-19 00:26:39;242;57494;"HEAVY";0;-36.772308;174.741614
14714948060;2015-11-18 01:31:06;333;57494;"HEAVY";93;-36.783633;174.749761
14684850911;2015-11-17 01:17:59;314;57494;"HEAVY";3;-36.772241;174.742327
14714905309;2015-11-18 01:29:39;5;57494;"HEAVY";94;-36.801038;174.761336
14743892007;2015-11-19 00:56:59;153;57494;"HEAVY";91;-36.78621;174.751596
14656328939;2015-11-16 01:28:36;154;57494;"HEAVY";68;-36.777811;174.7464
14742771313;2015-11-19 00:25:12;332;57494;"HEAVY";90;-36.77845;174.746535
14770943340;2015-11-19 23:30:13;28;57494;"HEAVY";91;-36.814752;174.751281
14654743613;2015-11-16 00:39:04;254;57494;"HEAVY";0;-36.772172;174.741927
14743867029;2015-11-19 00:56:19;153;57494;"HEAVY";88;-36.777872;174.746425
14716153933;2015-11-18 02:06:23;142;57494;"HEAVY";103;-36.7941;174.757156
14742710444;2015-11-19 00:23:59;326;57494;"HEAVY";93;-36.792811;174.755778
