"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14757295765;2015-11-19 15:27:30;345;50103;"LIGHT";86;-36.821014;174.749866
14757316456;2015-11-19 15:29:15;343;50103;"LIGHT";96;-36.798927;174.761049
14757316449;2015-11-19 15:28:57;17;50103;"LIGHT";97;-36.803192;174.76064
14757329783;2015-11-19 15:30:12;293;50103;"LIGHT";28;-36.788811;174.752465
14757720423;2015-11-19 16:03:50;193;50103;"LIGHT";78;-36.823628;174.750366
14757705427;2015-11-19 16:02:32;83;50103;"LIGHT";54;-36.811836;174.753086
14757712228;2015-11-19 16:03:09;195;50103;"LIGHT";69;-36.815625;174.751211
14757302098;2015-11-19 15:27:57;25;50103;"LIGHT";91;-36.815077;174.75103
14757322991;2015-11-19 15:29:54;329;50103;"LIGHT";95;-36.791275;174.75451
14757729673;2015-11-19 16:04:15;208;50103;"LIGHT";67;-36.827702;174.74779
14757295759;2015-11-19 15:27:00;27;50103;"LIGHT";83;-36.826796;174.748118
14757302095;2015-11-19 15:27:47;13;50103;"LIGHT";90;-36.81723;174.750222
14757712225;2015-11-19 16:02:53;245;50103;"LIGHT";63;-36.813759;174.753317
14757720425;2015-11-19 16:04:02;207;50103;"LIGHT";73;-36.82567;174.749127
14757308874;2015-11-19 15:28:37;36;50103;"LIGHT";97;-36.807444;174.757798
14757705433;2015-11-19 16:02:42;163;50103;"LIGHT";53;-36.8125;174.754255
14757308879;2015-11-19 15:28:47;28;50103;"LIGHT";97;-36.805412;174.759447
14757720420;2015-11-19 16:03:44;174;50103;"LIGHT";80;-36.82247;174.750467
14757295763;2015-11-19 15:27:19;10;50103;"LIGHT";81;-36.823293;174.750189
14757720418;2015-11-19 16:03:32;182;50103;"LIGHT";82;-36.820063;174.750145
14757712230;2015-11-19 16:03:21;191;50103;"LIGHT";79;-36.817843;174.750628
14757329781;2015-11-19 15:30:06;324;50103;"LIGHT";60;-36.78933;174.753029
14757308872;2015-11-19 15:28:27;37;50103;"LIGHT";96;-36.809382;174.755991
14757705434;2015-11-19 16:02:47;205;50103;"LIGHT";58;-36.813185;174.754143
14757322986;2015-11-19 15:29:34;321;50103;"LIGHT";96;-36.795204;174.757878
14757322989;2015-11-19 15:29:44;325;50103;"LIGHT";95;-36.793301;174.75608
14757308870;2015-11-19 15:28:17;37;50103;"LIGHT";93;-36.811279;174.754233
14757712226;2015-11-19 16:03:01;226;50103;"LIGHT";65;-36.814445;174.751972
14757302099;2015-11-19 15:28:07;34;50103;"LIGHT";92;-36.81313;174.752507
14757289618;2015-11-19 15:26:48;27;50103;"LIGHT";80;-36.828943;174.746689
14757295762;2015-11-19 15:27:11;27;50103;"LIGHT";82;-36.824803;174.749429
14757302094;2015-11-19 15:27:37;3;50103;"LIGHT";89;-36.819466;174.749658
14757316460;2015-11-19 15:29:24;322;50103;"LIGHT";96;-36.797067;174.759765
14757705430;2015-11-19 16:02:37;122;50103;"LIGHT";48;-36.81199;174.75382
14757316454;2015-11-19 15:29:07;3;50103;"LIGHT";96;-36.800842;174.761321
