"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14748930058;2015-11-19 03:23:03;167;49821;"LIGHT";37;-36.739451;174.719578
14748876599;2015-11-19 03:21:32;170;49821;"LIGHT";57;-36.735;174.718325
14744286603;2015-11-19 01:08:27;83;49821;"LIGHT";52;-36.724284;174.714437
14748948809;2015-11-19 03:24:06;145;49821;"LIGHT";35;-36.748028;174.723961
14748876593;2015-11-19 03:21:25;212;49821;"LIGHT";36;-36.734146;174.718389
14749043734;2015-11-19 03:26:47;142;49821;"LIGHT";6;-36.750295;174.72617
14748911111;2015-11-19 03:22:26;163;49821;"LIGHT";14;-36.737217;174.71889
14748930068;2015-11-19 03:23:22;166;49821;"LIGHT";52;-36.741678;174.720155
14748987909;2015-11-19 03:25:12;139;49821;"LIGHT";10;-36.749699;174.725552
14749006095;2015-11-19 03:25:34;141;49821;"LIGHT";0;-36.750271;174.726146
14748948799;2015-11-19 03:23:38;156;49821;"LIGHT";74;-36.743922;174.721103
14748948805;2015-11-19 03:23:51;150;49821;"LIGHT";76;-36.746034;174.722454
14748987903;2015-11-19 03:24:58;139;49821;"LIGHT";0;-36.749695;174.725545
14646383373;2015-11-15 20:16:33;169;49821;"LIGHT";25;-36.735859;174.716545
14749043740;2015-11-19 03:26:56;160;49821;"LIGHT";18;-36.750644;174.726459
