"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14653489970;2015-11-16 00:00:56;70;45065;"HEAVY";33;-36.751241;174.724228
14670759302;2015-11-16 18:22:21;341;45065;"HEAVY";84;-36.742745;174.72035
14778551753;2015-11-20 03:29:55;324;45065;"HEAVY";51;-36.750471;174.725608
14653057228;2015-11-15 23:47:35;337;45065;"HEAVY";86;-36.768491;174.740833
14778448894;2015-11-20 03:25:53;337;45065;"HEAVY";57;-36.771482;174.742397
14652980719;2015-11-15 23:44:52;344;45065;"HEAVY";70;-36.799061;174.760994
14654009955;2015-11-16 00:16:36;246;45065;"HEAVY";5;-36.750496;174.727325
14670796394;2015-11-16 18:23:54;353;45065;"HEAVY";87;-36.724455;174.714504
14653037955;2015-11-15 23:47:02;333;45065;"HEAVY";88;-36.774857;174.744325
14653019519;2015-11-15 23:46:05;333;45065;"HEAVY";90;-36.785252;174.750813
14653019559;2015-11-15 23:46:26;333;45065;"HEAVY";77;-36.781215;174.748313
14670813050;2015-11-16 18:24:05;347;45065;"HEAVY";88;-36.722073;174.713972
14778310149;2015-11-20 03:20:36;12;45065;"HEAVY";5;-36.800407;174.761156
14653037953;2015-11-15 23:46:51;332;45065;"HEAVY";86;-36.777003;174.745709
14778394994;2015-11-20 03:24:01;334;45065;"HEAVY";81;-36.783833;174.749954
14652962933;2015-11-15 23:44:41;35;45065;"HEAVY";44;-36.800555;174.761078
14653057217;2015-11-15 23:47:24;337;45065;"HEAVY";84;-36.770616;174.741935
14778506184;2015-11-20 03:28:28;316;45065;"HEAVY";50;-36.757462;174.733118
14653134991;2015-11-15 23:49:48;301;45065;"HEAVY";18;-36.75107;174.725525
14778394998;2015-11-20 03:24:15;333;45065;"HEAVY";65;-36.781702;174.748625
14645107238;2015-11-15 19:36:29;69;45065;"HEAVY";8;-36.750852;174.725442
14650268545;2015-11-15 22:18:53;251;45065;"HEAVY";50;-36.751398;174.723983
14778448896;2015-11-20 03:26:08;337;45065;"HEAVY";52;-36.769326;174.741267
14778565513;2015-11-20 03:30:39;334;45065;"HEAVY";79;-36.744395;174.721188
14778262476;2015-11-20 03:19:10;57;45065;"HEAVY";5;-36.800678;174.760972
14778580917;2015-11-20 03:31:02;348;45065;"HEAVY";86;-36.739857;174.719513
14653074617;2015-11-15 23:47:57;337;45065;"HEAVY";76;-36.764073;174.73897
14778431942;2015-11-20 03:25:13;333;45065;"HEAVY";56;-36.775552;174.74478
14778310165;2015-11-20 03:21:00;4;45065;"HEAVY";0;-36.800288;174.761172
14778380050;2015-11-20 03:23:13;332;45065;"HEAVY";41;-36.790144;174.753856
14778468914;2015-11-20 03:27:02;340;45065;"HEAVY";47;-36.76497;174.739396
14651658785;2015-11-15 23:02:14;70;45065;"HEAVY";14;-36.750978;174.724993
14651610457;2015-11-15 23:00:44;73;45065;"HEAVY";7;-36.751286;174.723949
14778565507;2015-11-20 03:30:26;330;45065;"HEAVY";69;-36.746542;174.7226
14653057208;2015-11-15 23:47:13;335;45065;"HEAVY";84;-36.772745;174.74307
14778262472;2015-11-20 03:19:07;66;45065;"HEAVY";0;-36.800694;174.760943
14652962926;2015-11-15 23:44:36;117;45065;"HEAVY";37;-36.800692;174.760542
14778468908;2015-11-20 03:26:42;342;45065;"HEAVY";33;-36.767186;174.740242
14654026505;2015-11-16 00:16:55;249;45065;"HEAVY";0;-36.750706;174.726648
14652998584;2015-11-15 23:45:25;325;45065;"HEAVY";93;-36.793257;174.756094
14653509670;2015-11-16 00:01:09;69;45065;"HEAVY";0;-36.751124;174.724661
14778413025;2015-11-20 03:24:56;333;45065;"HEAVY";48;-36.777606;174.746065
14778248045;2015-11-20 03:18:34;233;45065;"HEAVY";50;-36.79908;174.761828
14778506176;2015-11-20 03:28:09;317;45065;"HEAVY";45;-36.759104;174.735059
14778580926;2015-11-20 03:31:13;336;45065;"HEAVY";70;-36.737701;174.718708
14670740934;2015-11-16 18:21:59;332;45065;"HEAVY";80;-36.746823;174.722738
14778357592;2015-11-20 03:22:22;322;45065;"HEAVY";46;-36.794068;174.756806
14778262461;2015-11-20 03:18:48;212;45065;"HEAVY";38;-36.800217;174.760359
14778380069;2015-11-20 03:23:34;333;45065;"HEAVY";56;-36.788082;174.752577
14778431945;2015-11-20 03:25:33;334;45065;"HEAVY";39;-36.773522;174.743524
14653093773;2015-11-15 23:48:21;321;45065;"HEAVY";76;-36.759959;174.735974
14778521139;2015-11-20 03:29:03;317;45065;"HEAVY";63;-36.754107;174.729166
