"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14680829414;2015-11-16 23:19:53;174;34616;"HEAVY";73;-36.822448;174.750378
14680767678;2015-11-16 23:17:54;193;34616;"HEAVY";81;-36.801879;174.761351
14680811541;2015-11-16 23:19:15;195;34616;"HEAVY";78;-36.815528;174.751145
14680687504;2015-11-16 23:15:39;154;34616;"HEAVY";74;-36.777922;174.746504
14680748991;2015-11-16 23:17:15;141;34616;"HEAVY";84;-36.794507;174.75757
14680709743;2015-11-16 23:16:04;153;34616;"HEAVY";81;-36.782109;174.749127
14680767671;2015-11-16 23:17:37;156;34616;"HEAVY";88;-36.798351;174.761032
14680791006;2015-11-16 23:18:42;217;34616;"HEAVY";77;-36.810012;174.755673
14680749000;2015-11-16 23:17:26;141;34616;"HEAVY";87;-36.796329;174.759386
14680811534;2015-11-16 23:18:54;217;34616;"HEAVY";81;-36.811893;174.753908
14680664813;2015-11-16 23:14:34;62;34616;"HEAVY";7;-36.772115;174.741856
14680790990;2015-11-16 23:18:18;211;34616;"HEAVY";82;-36.806212;174.759153
14680709748;2015-11-16 23:16:16;153;34616;"HEAVY";74;-36.784194;174.750439
14680735142;2015-11-16 23:16:53;153;34616;"HEAVY";85;-36.790606;174.754454
14680829410;2015-11-16 23:19:27;191;34616;"HEAVY";71;-36.817739;174.750575
14680638172;2015-11-16 23:13:59;58;34616;"HEAVY";0;-36.772339;174.741317
14680847216;2015-11-16 23:20:13;207;34616;"HEAVY";71;-36.825692;174.748974
14680735138;2015-11-16 23:16:41;153;34616;"HEAVY";80;-36.788425;174.753092
14680664809;2015-11-16 23:14:26;62;34616;"HEAVY";0;-36.772116;174.741856
14680748986;2015-11-16 23:17:04;147;34616;"HEAVY";84;-36.792633;174.755903
14680767674;2015-11-16 23:17:45;174;34616;"HEAVY";84;-36.800037;174.761543
14680638179;2015-11-16 23:14:08;59;34616;"HEAVY";5;-36.77234;174.741318
14680847217;2015-11-16 23:20:27;208;34616;"HEAVY";61;-36.827698;174.747646
14680664815;2015-11-16 23:14:53;102;34616;"HEAVY";24;-36.771732;174.743103
14680735130;2015-11-16 23:16:29;152;34616;"HEAVY";74;-36.786358;174.751799
14680829412;2015-11-16 23:19:40;181;34616;"HEAVY";74;-36.820065;174.750072
14680811537;2015-11-16 23:19:05;213;34616;"HEAVY";83;-36.813731;174.752265
14680791000;2015-11-16 23:18:30;216;34616;"HEAVY";78;-36.808149;174.757429
14680687495;2015-11-16 23:15:27;154;34616;"HEAVY";73;-36.775904;174.745295
14680847210;2015-11-16 23:19:59;195;34616;"HEAVY";71;-36.823531;174.750276
14680687484;2015-11-16 23:15:12;159;34616;"HEAVY";62;-36.773794;174.744066
14680767681;2015-11-16 23:18:06;201;34616;"HEAVY";79;-36.80416;174.760436
14680709737;2015-11-16 23:15:52;153;34616;"HEAVY";73;-36.780051;174.747842
