"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14699499759;2015-11-17 17:52:19;13;30280;"HEAVY";81;-36.816877;174.750335
14699600821;2015-11-17 17:56:07;329;30280;"HEAVY";37;-36.773041;174.742921
14699482299;2015-11-17 17:52:07;8;30280;"HEAVY";74;-36.819108;174.749681
14699465083;2015-11-17 17:51:30;29;30280;"HEAVY";78;-36.826419;174.748105
14699482294;2015-11-17 17:51:59;348;30280;"HEAVY";84;-36.82076;174.749805
14699617843;2015-11-17 17:56:42;244;30280;"HEAVY";0;-36.772301;174.741721
14699531931;2015-11-17 17:53:51;343;30280;"HEAVY";91;-36.798812;174.761081
14699499763;2015-11-17 17:52:30;28;30280;"HEAVY";86;-36.814684;174.751258
14699586468;2015-11-17 17:55:21;333;30280;"HEAVY";91;-36.781174;174.748251
14699586470;2015-11-17 17:55:31;333;30280;"HEAVY";86;-36.779159;174.746988
14699567737;2015-11-17 17:54:51;333;30280;"HEAVY";90;-36.787257;174.75207
14699567733;2015-11-17 17:54:41;333;30280;"HEAVY";90;-36.789295;174.753337
14699567740;2015-11-17 17:55:01;333;30280;"HEAVY";91;-36.785242;174.750812
14699617842;2015-11-17 17:56:30;291;30280;"HEAVY";26;-36.772208;174.742187
14699465080;2015-11-17 17:51:17;26;30280;"HEAVY";69;-36.828423;174.746783
14699482279;2015-11-17 17:51:42;27;30280;"HEAVY";82;-36.824381;174.749512
14699531921;2015-11-17 17:53:22;27;30280;"HEAVY";89;-36.805141;174.75966
14699549040;2015-11-17 17:54:01;322;30280;"HEAVY";91;-36.796852;174.759683
14699567744;2015-11-17 17:55:11;333;30280;"HEAVY";91;-36.783192;174.74956
14699549053;2015-11-17 17:54:21;325;30280;"HEAVY";90;-36.793282;174.75613
14699482291;2015-11-17 17:51:48;9;30280;"HEAVY";88;-36.823196;174.750115
14699549055;2015-11-17 17:54:31;330;30280;"HEAVY";91;-36.791341;174.754626
14699515674;2015-11-17 17:52:51;37;30280;"HEAVY";89;-36.810823;174.754649
14699515676;2015-11-17 17:53:02;37;30280;"HEAVY";90;-36.808882;174.756483
14699649034;2015-11-17 17:57:38;246;30280;"HEAVY";5;-36.772304;174.741724
14699586473;2015-11-17 17:55:42;333;30280;"HEAVY";90;-36.777005;174.745643
14699600819;2015-11-17 17:55:52;329;30280;"HEAVY";75;-36.775007;174.744362
14699531926;2015-11-17 17:53:32;16;30280;"HEAVY";91;-36.803071;174.760673
14699531928;2015-11-17 17:53:42;5;30280;"HEAVY";91;-36.800861;174.761362
14699549048;2015-11-17 17:54:11;320;30280;"HEAVY";91;-36.795082;174.757904
14699499766;2015-11-17 17:52:41;36;30280;"HEAVY";89;-36.812635;174.752952
14699515679;2015-11-17 17:53:12;35;30280;"HEAVY";91;-36.807068;174.758168
