"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14675171929;2015-11-16 20:30:28;166;28295;"HEAVY";69;-36.73855;174.719355
14679559448;2015-11-16 22:41:06;157;28295;"HEAVY";69;-36.790008;174.754198
14675153597;2015-11-16 20:29:38;14;28295;"HEAVY";20;-36.73424;174.717807
14678824888;2015-11-16 22:19:12;152;28295;"HEAVY";52;-36.776249;174.743711
14675454092;2015-11-16 20:38:49;148;28295;"HEAVY";0;-36.787787;174.753144
14675365456;2015-11-16 20:35:58;157;28295;"HEAVY";74;-36.769063;174.741446
14675387615;2015-11-16 20:36:24;156;28295;"HEAVY";71;-36.773392;174.743733
14675171924;2015-11-16 20:30:11;169;28295;"HEAVY";42;-36.73636;174.718687
14679579258;2015-11-16 22:41:39;141;28295;"HEAVY";84;-36.79585;174.75894
14675247386;2015-11-16 20:32:38;137;28295;"HEAVY";9;-36.754044;174.729406
14675410856;2015-11-16 20:37:26;153;28295;"HEAVY";46;-36.779498;174.747481
14675214971;2015-11-16 20:31:55;140;28295;"HEAVY";42;-36.752955;174.728237
14675454087;2015-11-16 20:38:22;148;28295;"HEAVY";70;-36.785509;174.751358
14674333707;2015-11-16 20:06:24;332;28295;"HEAVY";84;-36.744764;174.7211
14679599315;2015-11-16 22:42:18;197;28295;"HEAVY";78;-36.803503;174.760818
14675341858;2015-11-16 20:35:29;160;28295;"HEAVY";60;-36.76478;174.739628
14675435445;2015-11-16 20:38:07;152;28295;"HEAVY";46;-36.783573;174.750073
14675341850;2015-11-16 20:35:01;144;28295;"HEAVY";62;-36.760601;174.736955
14679559452;2015-11-16 22:41:18;149;28295;"HEAVY";89;-36.792095;174.755523
14679616700;2015-11-16 22:42:51;217;28295;"HEAVY";87;-36.809365;174.756328
14674372455;2015-11-16 20:07:09;322;28295;"HEAVY";50;-36.736514;174.717585
14675195517;2015-11-16 20:30:53;160;28295;"HEAVY";80;-36.742969;174.720639
14675410853;2015-11-16 20:37:05;153;28295;"HEAVY";47;-36.777391;174.746166
14675214970;2015-11-16 20:31:40;143;28295;"HEAVY";73;-36.751134;174.726448
14675341854;2015-11-16 20:35:15;153;28295;"HEAVY";71;-36.762591;174.738463
14674333697;2015-11-16 20:06:13;331;28295;"HEAVY";81;-36.746794;174.72244
14674352545;2015-11-16 20:06:59;341;28295;"HEAVY";75;-36.738018;174.718536
14675153604;2015-11-16 20:29:47;139;28295;"HEAVY";20;-36.734134;174.718284
14675365449;2015-11-16 20:35:45;162;28295;"HEAVY";63;-36.766971;174.740462
14675214966;2015-11-16 20:31:28;146;28295;"HEAVY";80;-36.749232;174.724805
14678845961;2015-11-16 22:19:52;139;28295;"HEAVY";11;-36.779126;174.745736
14678845964;2015-11-16 22:20:04;117;28295;"HEAVY";37;-36.779634;174.746519
14679579265;2015-11-16 22:41:58;167;28295;"HEAVY";88;-36.799314;174.76148
14675454090;2015-11-16 20:38:37;148;28295;"HEAVY";35;-36.787448;174.752899
14679559455;2015-11-16 22:41:28;143;28295;"HEAVY";88;-36.793984;174.757095
14679579268;2015-11-16 22:42:07;187;28295;"HEAVY";85;-36.801317;174.761574
14675247383;2015-11-16 20:32:19;135;28295;"HEAVY";0;-36.754043;174.729408
14679616703;2015-11-16 22:43:02;217;28295;"HEAVY";89;-36.811316;174.754467
14674333691;2015-11-16 20:06:01;330;28295;"HEAVY";69;-36.748774;174.723779
14679634928;2015-11-16 22:43:46;189;28295;"HEAVY";79;-36.819719;174.750062
14679653050;2015-11-16 22:43:56;172;28295;"HEAVY";75;-36.821645;174.750188
14679672538;2015-11-16 22:44:47;208;28295;"HEAVY";65;-36.829382;174.746523
14675321317;2015-11-16 20:34:46;136;28295;"HEAVY";58;-36.758857;174.735172
14678797229;2015-11-16 22:18:52;152;28295;"HEAVY";42;-36.774166;174.742363
14675435439;2015-11-16 20:37:46;153;28295;"HEAVY";44;-36.781558;174.748814
14678824890;2015-11-16 22:19:30;151;28295;"HEAVY";51;-36.778278;174.745052
14675282965;2015-11-16 20:33:32;135;28295;"HEAVY";7;-36.755678;174.731331
14678845967;2015-11-16 22:20:15;90;28295;"HEAVY";49;-36.779885;174.747974
14679542159;2015-11-16 22:40:47;206;28295;"HEAVY";22;-36.787991;174.753285
14674352527;2015-11-16 20:06:35;341;28295;"HEAVY";82;-36.742613;174.719948
14675131864;2015-11-16 20:29:14;94;28295;"HEAVY";24;-36.735583;174.716613
14674372457;2015-11-16 20:07:28;307;28295;"HEAVY";0;-36.735826;174.716735
14675321309;2015-11-16 20:34:28;135;28295;"HEAVY";36;-36.757245;174.733241
14679634917;2015-11-16 22:43:23;200;28295;"HEAVY";86;-36.815215;174.751232
14679634924;2015-11-16 22:43:34;191;28295;"HEAVY";77;-36.817465;174.750621
14675195522;2015-11-16 20:31:16;150;28295;"HEAVY";82;-36.747148;174.723245
14679672532;2015-11-16 22:44:32;207;28295;"HEAVY";62;-36.827366;174.747853
14675195519;2015-11-16 20:31:05;152;28295;"HEAVY";82;-36.74518;174.721874
14675387619;2015-11-16 20:36:40;152;28295;"HEAVY";30;-36.775453;174.744953
14675500169;2015-11-16 20:39:47;185;28295;"HEAVY";17;-36.787962;174.753224
14679599320;2015-11-16 22:42:41;216;28295;"HEAVY";89;-36.807584;174.758069
14678845955;2015-11-16 22:19:48;140;28295;"HEAVY";0;-36.779125;174.745735
14674313356;2015-11-16 20:05:40;51;28295;"HEAVY";22;-36.750744;174.72492
14679599317;2015-11-16 22:42:30;208;28295;"HEAVY";81;-36.80564;174.759668
14674395062;2015-11-16 20:07:46;307;28295;"HEAVY";9;-36.735826;174.716735
14679579260;2015-11-16 22:41:50;148;28295;"HEAVY";86;-36.797714;174.760675
14679653068;2015-11-16 22:44:18;208;28295;"HEAVY";67;-36.825356;174.749198
14679653055;2015-11-16 22:44:05;188;28295;"HEAVY";71;-36.82329;174.750316
14674352538;2015-11-16 20:06:47;348;28295;"HEAVY";76;-36.740299;174.719219
14675365460;2015-11-16 20:36:11;157;28295;"HEAVY";71;-36.771237;174.742588
14675171935;2015-11-16 20:30:41;169;28295;"HEAVY";71;-36.740792;174.719923
14675500153;2015-11-16 20:39:41;148;28295;"HEAVY";11;-36.787787;174.753144
14679616708;2015-11-16 22:43:12;215;28295;"HEAVY";91;-36.813124;174.752766
